timestamp,activeWord,lastChar,correctChar,layout,testNum,type,length,language,funbox
2022-12-12T07:46:28.149Z,iliac , , ,semicolemakdh,3,words,10,wordle,null
2022-12-12T07:46:28.404Z,aglow ,a,a,semicolemakdh,3,words,10,wordle,null
2022-12-12T07:46:28.687Z,aglow ,g,g,semicolemakdh,3,words,10,wordle,null
2022-12-12T07:46:28.977Z,aglow ,l,l,semicolemakdh,3,words,10,wordle,null
2022-12-12T07:46:29.073Z,aglow ,o,o,semicolemakdh,3,words,10,wordle,null
2022-12-12T07:46:29.275Z,aglow ,w,w,semicolemakdh,3,words,10,wordle,null
2022-12-12T07:46:29.394Z,aglow , , ,semicolemakdh,3,words,10,wordle,null
2022-12-12T07:46:29.593Z,skate ,s,s,semicolemakdh,3,words,10,wordle,null
2022-12-12T07:46:29.938Z,skate ,k,k,semicolemakdh,3,words,10,wordle,null
2022-12-12T07:46:30.146Z,skate ,a,a,semicolemakdh,3,words,10,wordle,null
2022-12-12T07:46:30.716Z,skate ,t,t,semicolemakdh,3,words,10,wordle,null
2022-12-12T07:46:30.794Z,skate ,e,e,semicolemakdh,3,words,10,wordle,null
2022-12-12T07:46:30.973Z,skate , , ,semicolemakdh,3,words,10,wordle,null
2022-12-12T07:46:31.379Z,while,w,w,semicolemakdh,3,words,10,wordle,null
2022-12-12T07:46:31.933Z,while,h,h,semicolemakdh,3,words,10,wordle,null
2022-12-12T07:46:32.242Z,while,i,i,semicolemakdh,3,words,10,wordle,null
2022-12-12T07:46:32.578Z,while,u,l,semicolemakdh,3,words,10,wordle,null
2022-12-12T07:46:33.459Z,while,l,l,semicolemakdh,3,words,10,wordle,null
2022-12-12T07:46:33.662Z,while,e,e,semicolemakdh,3,words,10,wordle,null
2022-12-12T07:46:41.687Z,jumbo ,j,j,semicolemakdh,4,words,10,wordle,null
2022-12-12T07:46:41.749Z,jumbo ,u,u,semicolemakdh,4,words,10,wordle,null
2022-12-12T07:46:42.216Z,jumbo ,g,m,semicolemakdh,4,words,10,wordle,null
2022-12-12T07:46:43.493Z,jumbo ,m,m,semicolemakdh,4,words,10,wordle,null
2022-12-12T07:46:43.834Z,jumbo ,g,b,semicolemakdh,4,words,10,wordle,null
2022-12-12T07:46:43.954Z,jumbo ,k,b,semicolemakdh,4,words,10,wordle,null
2022-12-12T07:46:44.077Z,jumbo ,o,b,semicolemakdh,4,words,10,wordle,null
2022-12-12T07:46:44.916Z,jumbo ,b,b,semicolemakdh,4,words,10,wordle,null
2022-12-12T07:46:45.073Z,jumbo ,o,o,semicolemakdh,4,words,10,wordle,null
2022-12-12T07:46:45.214Z,jumbo , , ,semicolemakdh,4,words,10,wordle,null
