timestamp,activeWord,lastChar,correctChar,layout,testNum,type,length,language,funbox,cpm
2022-12-12 07:46:29.073,aglow ,o,o,semicolemakdh,3,words,10,wordle,null,0 days 00:00:00.096000
2022-12-12 07:46:29.275,aglow ,w,w,semicolemakdh,3,words,10,wordle,null,0 days 00:00:00.202000
2022-12-12 07:46:29.394,aglow , , ,semicolemakdh,3,words,10,wordle,null,0 days 00:00:00.119000
2022-12-12 07:46:29.593,skate ,s,s,semicolemakdh,3,words,10,wordle,null,0 days 00:00:00.199000
2022-12-12 07:46:29.938,skate ,k,k,semicolemakdh,3,words,10,wordle,null,0 days 00:00:00.345000
2022-12-12 07:46:30.146,skate ,a,a,semicolemakdh,3,words,10,wordle,null,0 days 00:00:00.208000
2022-12-12 07:46:30.716,skate ,t,t,semicolemakdh,3,words,10,wordle,null,0 days 00:00:00.570000
2022-12-12 07:46:30.794,skate ,e,e,semicolemakdh,3,words,10,wordle,null,0 days 00:00:00.078000
2022-12-12 07:46:30.973,skate , , ,semicolemakdh,3,words,10,wordle,null,0 days 00:00:00.179000
2022-12-12 07:46:31.379,while,w,w,semicolemakdh,3,words,10,wordle,null,0 days 00:00:00.406000
2022-12-12 07:46:31.933,while,h,h,semicolemakdh,3,words,10,wordle,null,0 days 00:00:00.554000
2022-12-12 07:46:32.242,while,i,i,semicolemakdh,3,words,10,wordle,null,0 days 00:00:00.309000
2022-12-12 07:46:32.578,while,u,l,semicolemakdh,3,words,10,wordle,null,0 days 00:00:00.336000
2022-12-12 07:46:33.459,while,l,l,semicolemakdh,3,words,10,wordle,null,0 days 00:00:00.881000
2022-12-12 07:46:33.662,while,e,e,semicolemakdh,3,words,10,wordle,null,0 days 00:00:00.203000
2022-12-12 07:46:41.687,jumbo ,j,j,semicolemakdh,4,words,10,wordle,null,0 days 00:00:08.025000
2022-12-12 07:46:41.749,jumbo ,u,u,semicolemakdh,4,words,10,wordle,null,0 days 00:00:00.062000
2022-12-12 07:46:42.216,jumbo ,g,m,semicolemakdh,4,words,10,wordle,null,0 days 00:00:00.467000
2022-12-12 07:46:43.493,jumbo ,m,m,semicolemakdh,4,words,10,wordle,null,0 days 00:00:01.277000
2022-12-12 07:46:43.834,jumbo ,g,b,semicolemakdh,4,words,10,wordle,null,0 days 00:00:00.341000
2022-12-12 07:46:43.954,jumbo ,k,b,semicolemakdh,4,words,10,wordle,null,0 days 00:00:00.120000
2022-12-12 07:46:44.077,jumbo ,o,b,semicolemakdh,4,words,10,wordle,null,0 days 00:00:00.123000
