,timestamp,activeWord,lastChar,correctChar,layout,testNum,type,length,language,funbox,cps
266,2022-12-12 07:47:13.051,loyal ,l,l,semicolemakdh,5,words,10,wordle,null,0.292
267,2022-12-12 07:47:13.206,loyal ,o,o,semicolemakdh,5,words,10,wordle,null,0.155
268,2022-12-12 07:47:13.579,loyal ,l,y,semicolemakdh,5,words,10,wordle,null,0.373
269,2022-12-12 07:47:14.284,loyal ,y,y,semicolemakdh,5,words,10,wordle,null,0.705
270,2022-12-12 07:47:14.405,loyal ,a,a,semicolemakdh,5,words,10,wordle,null,0.121
271,2022-12-12 07:47:14.595,loyal ,l,l,semicolemakdh,5,words,10,wordle,null,0.19
272,2022-12-12 07:47:14.812,loyal , , ,semicolemakdh,5,words,10,wordle,null,0.217
273,2022-12-12 07:47:15.051,shift ,s,s,semicolemakdh,5,words,10,wordle,null,0.239
274,2022-12-12 07:47:15.195,shift ,h,h,semicolemakdh,5,words,10,wordle,null,0.144
275,2022-12-12 07:47:15.495,shift ,i,i,semicolemakdh,5,words,10,wordle,null,0.3
276,2022-12-12 07:47:16.204,shift ,f,f,semicolemakdh,5,words,10,wordle,null,0.709
277,2022-12-12 07:47:16.379,shift ,t,t,semicolemakdh,5,words,10,wordle,null,0.175
278,2022-12-12 07:47:16.612,shift , , ,semicolemakdh,5,words,10,wordle,null,0.233
279,2022-12-12 07:47:16.911,stake ,s,s,semicolemakdh,5,words,10,wordle,null,0.299
280,2022-12-12 07:47:17.162,stake ,t,t,semicolemakdh,5,words,10,wordle,null,0.251
