timestamp,activeWord,lastChar,correctChar,source,layout,type,length,language,funbox
2022-12-04T09:51:28.142Z,when,e,e,monkeytype,semicolemak,words,10,english,null
2022-12-04T09:51:28.319Z,word,n,n,monkeytype,semicolemak,words,10,english,null
2022-12-04T09:51:28.422Z,word, , ,monkeytype,semicolemak,words,10,english,null
2022-12-04T09:51:29.941Z,word,w,w,monkeytype,semicolemak,words,10,english,null
2022-12-04T09:51:30.373Z,word,i,o,monkeytype,semicolemak,words,10,english,null
2022-12-04T09:51:31.343Z,word,o,o,monkeytype,semicolemak,words,10,english,null
2022-12-04T09:51:33.084Z,word,r,r,monkeytype,semicolemak,words,10,english,null
2022-12-04T09:51:33.327Z,word,d,d,monkeytype,semicolemak,words,10,english,null
2022-12-04T09:51:33.548Z,say, , ,monkeytype,semicolemak,words,10,english,null
2022-12-04T09:51:33.980Z,say,s,s,monkeytype,semicolemak,words,10,english,null
2022-12-04T09:51:34.144Z,say,a,a,monkeytype,semicolemak,words,10,english,null
2022-12-04T09:51:34.492Z,say,y,y,monkeytype,semicolemak,words,10,english,null
2022-12-04T09:51:34.629Z,each, , ,monkeytype,semicolemak,words,10,english,null
2022-12-04T09:51:35.805Z,each,e,e,monkeytype,semicolemak,words,10,english,null
2022-12-04T09:51:36.093Z,each,a,a,monkeytype,semicolemak,words,10,english,null
2022-12-04T09:51:36.745Z,each,c,c,monkeytype,semicolemak,words,10,english,null
2022-12-04T09:51:36.999Z,each,h,h,monkeytype,semicolemak,words,10,english,null
2022-12-04T09:51:37.134Z,run, , ,monkeytype,semicolemak,words,10,english,null
2022-12-04T09:51:39.100Z,run,r,r,monkeytype,semicolemak,words,10,english,null
2022-12-04T09:51:39.476Z,run,u,u,monkeytype,semicolemak,words,10,english,null
2022-12-04T09:51:39.884Z,run,n,n,monkeytype,semicolemak,words,10,english,null
2022-12-04T09:51:40.062Z,that, , ,monkeytype,semicolemak,words,10,english,null
2022-12-04T09:51:40.883Z,that,t,t,monkeytype,semicolemak,words,10,english,null
2022-12-04T09:51:41.700Z,that,h,h,monkeytype,semicolemak,words,10,english,null
2022-12-04T09:51:41.917Z,that,a,a,monkeytype,semicolemak,words,10,english,null
2022-12-04T09:51:42.567Z,that,t,t,monkeytype,semicolemak,words,10,english,null
2022-12-04T09:51:42.726Z,of, , ,monkeytype,semicolemak,words,10,english,null
2022-12-04T09:51:43.443Z,of,o,o,monkeytype,semicolemak,words,10,english,null
2022-12-04T09:51:44.306Z,of,f,f,monkeytype,semicolemak,words,10,english,null
2022-12-04T09:51:46.925Z,he,h,h,monkeytype,semicolemak,words,10,english,null
2022-12-04T09:51:47.672Z,he,e,e,monkeytype,semicolemak,words,10,english,null
2022-12-04T09:51:47.887Z,or, , ,monkeytype,semicolemak,words,10,english,null
2022-12-04T09:51:48.765Z,or,o,o,monkeytype,semicolemak,words,10,english,null
2022-12-04T09:51:49.024Z,or,r,r,monkeytype,semicolemak,words,10,english,null
2022-12-04T09:51:49.120Z,of, , ,monkeytype,semicolemak,words,10,english,null
2022-12-04T09:51:49.375Z,of,o,o,monkeytype,semicolemak,words,10,english,null
2022-12-04T09:51:50.487Z,of,f,f,monkeytype,semicolemak,words,10,english,null
2022-12-04T09:51:50.706Z,move, , ,monkeytype,semicolemak,words,10,english,null
2022-12-04T09:51:51.364Z,move,m,m,monkeytype,semicolemak,words,10,english,null
2022-12-04T09:51:51.693Z,move,o,o,monkeytype,semicolemak,words,10,english,null
2022-12-04T09:51:52.598Z,move,v,v,monkeytype,semicolemak,words,10,english,null
2022-12-04T09:51:52.812Z,move,e,e,monkeytype,semicolemak,words,10,english,null
2022-12-04T09:51:53.046Z,increase, , ,monkeytype,semicolemak,words,10,english,null
2022-12-04T09:51:55.117Z,increase,i,i,monkeytype,semicolemak,words,10,english,null
2022-12-04T09:51:55.360Z,increase,n,n,monkeytype,semicolemak,words,10,english,null
2022-12-04T09:51:55.886Z,increase,c,c,monkeytype,semicolemak,words,10,english,null
2022-12-04T09:51:56.406Z,increase,e,r,monkeytype,semicolemak,words,10,english,null
2022-12-04T09:51:57.629Z,increase,r,r,monkeytype,semicolemak,words,10,english,null
2022-12-04T09:51:57.758Z,increase,e,e,monkeytype,semicolemak,words,10,english,null
2022-12-04T09:51:57.974Z,increase,a,a,monkeytype,semicolemak,words,10,english,null
2022-12-04T09:51:58.853Z,increase,s,s,monkeytype,semicolemak,words,10,english,null
2022-12-04T09:51:58.951Z,increase,e,e,monkeytype,semicolemak,words,10,english,null
2022-12-04T09:51:59.068Z,write, , ,monkeytype,semicolemak,words,10,english,null
2022-12-04T09:52:00.485Z,write,w,w,monkeytype,semicolemak,words,10,english,null
2022-12-04T09:52:01.436Z,write,r,r,monkeytype,semicolemak,words,10,english,null
2022-12-04T09:52:01.750Z,write,i,i,monkeytype,semicolemak,words,10,english,null
2022-12-04T09:52:02.182Z,write,t,t,monkeytype,semicolemak,words,10,english,null
2022-12-04T09:52:02.388Z,write,e,e,monkeytype,semicolemak,words,10,english,null
2022-12-04T09:52:02.649Z,stand, , ,monkeytype,semicolemak,words,10,english,null
2022-12-04T09:52:04.087Z,stand,s,s,monkeytype,semicolemak,words,10,english,null
2022-12-04T09:52:04.261Z,stand,t,t,monkeytype,semicolemak,words,10,english,null
2022-12-04T09:52:04.334Z,stand,a,a,monkeytype,semicolemak,words,10,english,null
2022-12-04T09:52:05.437Z,stand,m,n,monkeytype,semicolemak,words,10,english,null
2022-12-04T09:52:06.517Z,stand,k,n,monkeytype,semicolemak,words,10,english,null
2022-12-04T09:52:07.439Z,stand,n,n,monkeytype,semicolemak,words,10,english,null
2022-12-04T09:52:08.095Z,stand,d,d,monkeytype,semicolemak,words,10,english,null
2022-12-04T09:52:08.277Z,some, , ,monkeytype,semicolemak,words,10,english,null
2022-12-04T09:52:08.663Z,some,s,s,monkeytype,semicolemak,words,10,english,null
2022-12-04T09:52:08.967Z,some,o,o,monkeytype,semicolemak,words,10,english,null
2022-12-04T09:52:09.673Z,some,m,m,monkeytype,semicolemak,words,10,english,null
2022-12-04T09:52:09.862Z,some,e,e,monkeytype,semicolemak,words,10,english,null
2022-12-04T09:52:10.023Z,should, , ,monkeytype,semicolemak,words,10,english,null
2022-12-04T09:52:11.710Z,should,s,s,monkeytype,semicolemak,words,10,english,null
2022-12-04T09:52:11.823Z,should,h,h,monkeytype,semicolemak,words,10,english,null
2022-12-04T09:52:12.214Z,should,o,o,monkeytype,semicolemak,words,10,english,null
2022-12-04T09:52:12.518Z,should,u,u,monkeytype,semicolemak,words,10,english,null
2022-12-04T09:52:13.262Z,should,l,l,monkeytype,semicolemak,words,10,english,null
2022-12-04T09:52:14.083Z,face,d,d,monkeytype,semicolemak,words,10,english,null
2022-12-04T09:52:14.191Z,face, , ,monkeytype,semicolemak,words,10,english,null
2022-12-04T09:52:15.718Z,face,f,f,monkeytype,semicolemak,words,10,english,null
2022-12-04T09:52:15.966Z,face,a,a,monkeytype,semicolemak,words,10,english,null
2022-12-04T09:52:17.831Z,face,c,c,monkeytype,semicolemak,words,10,english,null
